,index_0,index_1,behavior_0,behavior_1,objective,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9
93,3,74,3.0,74.0,0.7130681818181818,-0.8925591224688227,-0.8407786729978464,-0.8456040079283431,0.3832820345044886,1.0,0.7974416667110614,0.28896031830762114,0.005327862543096973,0.45156917612175573,1.0
94,1,61,1.0,61.0,172.0,0.1510463791697922,-1.0,0.11568554902097022,1.0,-1.0,-1.0,-0.4597456399711606,-1.0,-1.0,-0.9382917348666242
95,1,51,1.0,51.0,208.0,-0.7014673522750293,0.06856572162101361,1.0,-0.6584060120118818,0.5302103735026271,0.10665532337280059,0.4342071176277017,-0.04270881390520542,-1.0,-0.06948361327190919
96,0,50,0.0,50.0,163.0,-1.0,0.04305216088880942,-0.20789671061409448,-0.720735321409038,1.0,-0.4663648461388659,0.7675959308458055,-0.538849396222963,-1.0,-0.024971205374504257
97,0,15,0.0,15.0,0.8849431818181818,-0.03625016009631071,-0.49532462076128425,1.0,-0.9600365501495918,0.5539036947886091,-0.14618026729289052,0.5505279569042928,-0.40253956635908095,0.035726852585205415,-0.25767443038042787
98,0,84,0.0,84.0,170.0,-0.6796918189660683,-1.0,0.3015624836743752,-0.8420379623277363,-0.039512096409225456,-0.29695163377587275,-1.0,0.6136943207177648,-0.712826198684146,-0.2199089276919911
99,2,52,2.0,52.0,0.7585227272727273,1.0,-0.9418706964262733,-0.08217699391012082,-0.08031524524730393,-0.12422892238672989,0.849529230835925,-0.44107779178098394,0.2981694510895215,0.8134746379860327,-0.05866315658759769
100,0,69,0.0,69.0,0.7144886363636364,1.0,-1.0,0.5340061576067885,-1.0,-0.9120747000939298,0.8600766831210296,0.4757897339829777,-0.9011340488918109,1.0,0.7787662115720215
101,2,59,2.0,59.0,0.8480113636363636,1.0,-0.38645727464787816,0.5921580230484267,0.39733968703483225,-1.0,1.0,0.7072320070933278,-0.10042321091169876,0.7653962190121186,0.5372379993518769
102,1,59,1.0,59.0,0.8480113636363636,0.6197638840531745,-0.8601621940989254,-0.013865272609597162,-0.2790476527608947,-1.0,0.4213411016761455,0.5231019933061833,0.24827936088006677,1.0,0.6872416061882036
103,0,13,0.0,13.0,0.8252840909090909,-0.2367215483173069,-1.0,-0.9603790947433172,-1.0,-0.5822707991567264,-1.0,0.9530815488929996,1.0,0.2962496198345961,-0.6151238312517138
104,3,54,3.0,54.0,0.8494318181818182,1.0,0.6096072518063654,0.5437393314426593,1.0,-0.26891533115817917,0.3258240685516889,-1.0,0.9759391647313006,-0.16173419873885647,0.3886034833497988
105,1,42,1.0,42.0,134.0,-0.14436498415255367,-1.0,-0.4021728311460142,1.0,-1.0,-0.14650189458743754,0.03499202567108514,-0.4213102533690924,0.157374337383892,-0.8124785550367147
106,0,56,0.0,56.0,0.9090909090909091,-0.7980333167120683,-1.0,1.0,-1.0,0.8383161727995533,-0.34136697110228814,-1.0,0.19003854090265082,0.4000601805406754,-0.6346573283332999
107,1,49,1.0,49.0,0.8465909090909091,1.0,-0.9167616140133678,-0.21991407193913853,-0.3896607170555746,-0.37484634196176136,0.47417756157704866,1.0,0.5635042210332148,1.0,0.9360578629518364
108,0,65,0.0,65.0,0.8991477272727273,-0.14055924047320367,-1.0,1.0,-1.0,0.7516532715020443,0.15792895958018432,0.3320818180041137,-0.2243707656025664,0.8665812155361304,0.584182276716835
109,3,59,3.0,59.0,0.8494318181818182,0.6889854857667872,0.7961219188728754,-0.30360401500349055,1.0,-0.40396519859183366,-0.4100605781315604,-0.559180270858032,0.029126069944379385,1.0,0.7483095371741117
110,1,71,1.0,71.0,173.0,-0.6080820058355781,-0.7430567419832699,0.2841917011221239,1.0,-0.24626958181601197,0.04005837313920707,-1.0,1.0,0.6580588484389143,-0.3490738956135225
111,0,49,0.0,49.0,0.8167613636363636,0.5492261242712141,0.9527962236948275,-0.13941281975606074,1.0,0.26532495708830894,-0.6300775017530285,0.03264521002614296,-0.15465650714447787,1.0,0.7739679305025762
112,0,1,0.0,1.0,75.0,0.1352223578523195,0.9424829946697858,-1.0,-0.22925269747640956,0.72566078260765,-0.19706356446695505,0.7035213528195987,-0.1109748808847107,0.5598502635584529,-1.0
113,3,72,3.0,72.0,0.6193181818181818,-0.7233481759063167,0.631930211083215,1.0,0.22466192605748225,1.0,1.0,0.12317906096219008,-0.9838533798236472,0.07933637892872503,0.22253271167454403
114,2,69,2.0,69.0,0.7741477272727273,1.0,0.5117719605827991,0.1579198145259647,1.0,0.7004502945559343,0.2934183261847174,-0.6961364364698571,0.042405832195389515,0.9161932928273383,1.0
115,3,44,3.0,44.0,0.7670454545454546,1.0,-0.0026529111641967473,-0.0003127621749907106,1.0,-0.9975301764152774,-0.9853302542359224,-1.0,0.3578415854195568,1.0,1.0
116,0,46,0.0,46.0,0.8352272727272727,-0.5688134571857681,0.20471033102337444,-0.3779512483535664,-1.0,-0.3583100864265154,-0.6304073825929072,-1.0,-0.1871663480917436,-0.48384646721619623,-0.8039802125797433
117,1,62,1.0,62.0,133.0,-0.38379981787253165,0.5826419517483965,1.0,-0.5672178784796865,0.871886272964902,1.0,0.48197442709684674,0.2821079535118568,-1.0,0.57338231057165
118,3,49,3.0,49.0,0.8295454545454546,1.0,0.44794105640340176,-0.8156256255246601,0.6727474812364371,-1.0,0.1875880101124654,0.20127109033232882,-0.082121586443526,0.5968136214647295,0.4487004519001974
119,4,73,4.0,73.0,0.8210227272727273,-1.0,-0.2906120627580534,-0.40882956223338623,0.3716201442011284,0.3903428038717035,-0.05463443438608062,0.3956034646621519,-0.21849579114443946,-0.3248036597333951,1.0
120,0,95,0.0,95.0,0.6732954545454546,-0.9891602495313119,0.13236431583081854,0.09221122375512464,-1.0,-0.30288719982009615,-0.75548399709518,-0.665443604336579,0.366363197374205,-0.3709574718587032,0.491059808906637
121,0,59,0.0,59.0,0.6306818181818182,0.38609889439469336,-1.0,1.0,-1.0,-0.9981553919083499,1.0,0.49362329987106796,-0.15353477583494424,1.0,1.0
122,0,93,0.0,93.0,0.875,-1.0,0.4070588080935712,0.9872433740647556,0.41363444987874365,-0.48377727749017974,0.04380271221732249,-0.4354355054649914,1.0,-0.645207129003218,0.04911251799884242
