,index_0,index_1,behavior_0,behavior_1,objective,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15,solution_16,solution_17,solution_18,solution_19,solution_20,solution_21,solution_22,solution_23,solution_24,solution_25,solution_26,solution_27,solution_28,solution_29,solution_30,solution_31,solution_32,solution_33,solution_34,solution_35,solution_36,solution_37,solution_38,solution_39,solution_40,solution_41,solution_42,solution_43,solution_44,solution_45,solution_46,solution_47,solution_48,solution_49
0,16,19,16.0,19.0,387.0,-2.2796159390812205,1.8342822063636375,0.5065703091387409,-1.8807564961579313,-2.226825711531669,3.0361548382277865,2.252051519724037,0.20072969180283265,-3.1331637495403624,0.22655482142765018,-3.7212083307366792,-1.415765988947977,1.096781329183516,4.215564194816041,0.816853185622923,1.8532271333413444,-4.868460892600593,-2.5186330259775414,-0.7237750856449757,-2.7167208449810167,0.3507104833999668,-0.3331255179845338,-2.6607074136900515,3.884993632998707,0.43634211301451287,2.625241336868917,-0.08742953223906996,-1.219663204186865,-3.3125774167072417,-3.6356625707462866,0.6308114178362529,-1.7406888795709974,-4.20919313444964,1.8788795502476496,0.9752198972629241,1.5381227588443342,0.9717035031471442,-1.4414310103825747,0.18558130291531627,3.552677186864706,4.291853353996332,2.208457342369668,2.3661942430229965,0.08008770860987147,1.5955674299065308,1.971946059273017,-0.7409479687077565,-1.6713873828535295,-0.5667932646861644,-3.3886355331940483
1,6,15,6.0,15.0,386.0,-2.605018046024317,-0.5191827977397053,2.1441747800701134,0.4450533143329096,-5.8210263051235565,3.5737578989268552,-0.2370301047992919,-0.17906139242893382,-0.5516241775688291,1.6588243985213527,-4.2145235960303555,-1.3830247311715826,0.9125233654549598,3.3877428412833415,-0.25295302484376325,2.818380017843549,-4.08698266353411,-1.4030395963860536,-0.05099055308454853,-1.3608368285675336,2.052849776800173,-1.7530813957727298,-1.1377514578292072,1.5148728877051134,2.8121136641505373,0.8881031882811753,0.02933303997275446,-0.8925329595548877,-2.5034476958311256,-0.9370804772909916,2.2298734437464502,-0.2741751137642052,-2.167979224761569,3.857765627804019,0.9366643367802219,3.4652280603344634,-0.422261740926208,-2.908619232873757,2.070706929424808,3.256115890894263,2.8975902207638446,0.6099441499719173,1.8019839151680124,0.6495236286211331,1.3654447864858368,1.8386994429853356,-0.005138704355274998,-0.9050705664227139,-1.433738842762203,-2.8672669770316577
2,9,19,9.0,19.0,364.0,-4.620395847362408,0.5976803799171113,1.8539178983899403,-1.2146173984811341,-7.749093299914304,4.501627112400731,0.5614556753863014,1.028297130082507,1.2183528836770134,1.8735148831878377,-2.024439565494652,-0.46317682871567256,0.47537927962046045,6.497255290259319,-2.5519509844616803,1.9171453064470934,-3.050904117012326,-2.814268531376754,0.3971612451187302,-1.54020883547838,2.249918106835928,0.5887421641485974,-2.3210054383840237,2.4653769291176193,2.567794571134069,3.1602032861815736,-3.7843783992553695,-2.3312423709725314,-0.795661060845871,0.8440501200099897,1.5973303374544372,0.18846529906111265,-0.8753365974840104,1.6213957285942606,1.23173547939992,3.1011883496210424,-0.5511747710589816,-2.555370002049326,2.918619957623619,3.084828945902574,4.039637237436225,1.4321535742081946,1.0589913042076373,2.2044020385789462,0.4208689295689918,0.5349340439012571,1.1853054876000013,-0.4874484472280807,-0.1355261240515111,-2.3298615553438053
3,26,19,26.0,19.0,385.0,-1.9397773258511257,2.2691099546463986,1.6511127830463777,-1.030146667318491,-3.4672612945339787,3.344035012268144,1.0339915295763635,0.33243988922852774,-1.795736278269565,-0.1399473548997151,-5.359707828640414,-2.5027233789412815,1.746271306446437,2.7467964625301216,-0.1539022804847827,1.6242776121597986,-4.356475577359368,-2.9426535103963465,-1.0922037138862575,-1.3855093016627158,1.1209455773620338,-0.026987662483886045,-2.0170731528646404,3.1018749690670027,0.7085966377716804,3.2748094772977243,-0.08925608816923625,-0.4406873488909841,-1.8408382734042328,-2.131722957939759,2.143991472225627,1.1165568461545456,-3.9017161577008714,2.3359892693984845,1.9133285993050768,0.2974083318145152,-0.1747079544223914,-2.0650788134531552,0.5383711587817612,3.9613153377782053,4.025103386007391,2.4556918960472656,2.189376775411387,0.36176367930892633,1.2484462757950172,1.2948139790036826,-1.056917932013846,-2.050963232547329,-1.8274154983597157,-3.5603841680283472
4,16,17,16.0,17.0,386.0,-4.572223784490559,3.3374823372071374,2.983969209009836,-2.3052612827520855,-5.989683707979121,1.5473203325547236,0.7607301097056187,1.8504383857377071,2.3267398317406016,-0.32263111696927416,-4.501861695475929,-2.305931127368739,1.549803025108329,2.8974888225241417,0.13394779982945054,0.9315760209930546,-2.0682873418998007,-3.070049199453835,-1.374711208572457,-0.8295936221127664,1.1134909392123307,-0.20754129084226663,-0.5439065484598191,2.583897006053829,1.4727894983235421,2.9081993486146205,-0.23055366246403441,-2.1322512547210173,-2.996892373556012,-2.3040501228238464,1.6790240441413335,-0.44647508590321366,-1.525193937240137,3.677355554209895,1.0461521765943704,3.3823605073560365,-0.3016477704135416,-2.8083139731938296,1.7988352822608358,3.501358331331965,0.9235741980574453,3.1782529557193877,1.2873267887440134,0.199895509159282,0.901004528550059,2.6208249073376937,-1.7521369031674607,-1.9366436182334017,-0.4707029022071684,-4.066334091940359
5,7,19,7.0,19.0,387.0,-3.3405861172210685,1.6250033715115797,1.4732258845286834,-0.08641194175106603,-4.5977783743510745,2.7617358043769658,-1.5157890137290426,0.2639714357972529,2.22696099149724,1.8043974580883595,-4.225509617901558,-0.8725986847085019,2.3570628779318294,2.899096321860613,-0.6844850028650883,2.1959037700375372,-3.7233763499362027,-2.759284871238023,-0.24358342521680773,-2.1257453827433013,3.266041150455619,-0.3266409638060381,-1.2554403122430333,1.914616657458202,2.4351683243274187,1.4464154592775142,0.00015272347609160408,-2.000517128632791,-1.0462220946290255,-3.9261475790564977,2.4299261723873573,0.06302176793253339,-1.8933187722680196,3.155121275513648,0.5810024893112051,2.6930063536984723,0.06339861545878778,-2.3269398329573923,2.785666041184865,3.1818847159095527,2.056008451812744,0.8019742491955237,1.9635871020164863,2.6857882277384872,0.8484984422701954,1.4582280885159038,0.9977129460205527,-0.9999034004258426,-1.7185057119898768,-2.500409584582213
6,4,15,4.0,15.0,388.0,-3.4930520635208815,-0.2833433713836637,1.404326478337386,-2.8349561974632804,-5.244639074202949,1.8860817399600707,-0.5181013295440162,-2.5966197598837324,0.8682662119142335,1.7595130259538423,-1.700138508072876,0.10481180954675373,0.8417491089307941,4.640802832036094,-0.030042508935352208,1.1567836496629114,-3.1086470322599844,-2.4167293507851637,-1.2796436690539887,-3.8934065737373564,0.6635651416124425,-2.6301275706320784,-2.9668267829796995,3.9819260324629613,3.4359067465738082,1.87315154228144,-0.21074763924311674,-3.9399970030550886,-1.8631834326370367,-1.0368989178117698,1.839914964611645,0.03293640289229438,-1.5923947758690993,2.646943435604537,0.9192141031921786,2.231295248374626,-0.5207865256913689,-2.171706960532601,1.7202957062509574,3.609258110653342,2.4132986988689336,-1.0787454808587797,3.5415122052509824,1.6998688096805536,1.1146417216327948,4.379648596611921,-0.30763875654603934,-1.292970269928418,-0.8598420152504898,-2.1858109449313106
7,26,17,26.0,17.0,386.0,-3.818154840166406,0.533183501317316,1.7826355929359237,-0.45321530480900163,-5.805995685528618,3.4308927627760366,-0.7080206896070056,0.3270281014392914,0.032828584943122324,1.317750000946224,-4.203313796360396,-0.527559210910497,1.4960705821651672,3.602427549596989,-0.6134474705210892,2.3522820088170726,-3.113972357207822,-2.474842551968729,0.18435597908436507,-1.8950703561353215,1.5398791923095057,-1.0773303320738927,-0.4866554610458328,2.797083620018941,3.1444108127329056,1.8331753695949313,-0.22008947247292082,-1.3659449188692323,-1.8435207402840874,-1.285183685642704,2.223933380556443,0.16463684827533587,-1.952182956634296,3.1386410358819683,1.6219572821183288,2.7845572899999462,-0.26480749395415243,-2.623985195286956,1.971602220024307,3.2840114055433567,2.311808935672866,1.050551293263473,2.1347790305685512,1.9307479592975987,1.0142766840759305,2.17834915670158,-0.49913711256472343,-1.5850412326605263,-1.5765715107206322,-2.8771183554862905
8,17,18,17.0,18.0,387.0,-3.549880278692242,2.741980416656625,2.6582487869892857,-1.6193113650843247,-5.819715272607054,2.391427740553343,1.01303744645528,1.2659068917727778,3.8457875767931275,0.41439827506882965,-5.975920786920007,-3.4730338668855447,2.164268092824128,3.302406710085482,0.35878646673805664,1.891445719588749,-2.8289912513126954,-4.917149689150442,-1.4185786515307086,-1.7001514903896044,1.9840719669668092,-0.6512771387851135,-2.693672208338355,4.801868744435209,3.4244921913286346,3.849701868186301,-0.18785998056215636,-3.130663337192513,-5.187997058990272,-2.8975836412772464,3.858366367604532,0.06868988141612078,-0.6105428247115903,3.028050149160343,1.749189550561366,3.7027019708567663,-0.1224205505623539,-3.0866060476441994,1.4452873678265157,3.4264432456996943,1.9916503940350714,3.288878556244435,2.879350398149169,0.228356952417952,0.9686327756797782,2.8304484421187333,-1.4571704881174794,-1.5176556653103872,-0.6587435756411611,-4.619136330333658
9,35,19,35.0,19.0,381.0,-3.3806440982546104,3.7410221811917816,1.640106908060614,-0.6163167004097896,-3.8991376644702957,3.2434057531820626,1.3391244476350348,0.014550134659790836,2.1714496180948344,2.7199593802667805,-4.404273277399275,1.7297471435322311,0.2969404529123598,4.816660648845655,-1.0201388013521382,0.7037321047955623,-2.620237100613109,-2.274065872607576,-2.373136739583001,-0.34834434791016733,0.1406170898040438,1.377610345966767,-0.6604612126774121,3.0679549575577476,1.7210973372759701,1.5598152634867977,-1.5166304082637252,-3.8800691219346652,0.23696550159362606,-6.7076877895266005,2.258401014928768,-0.27625220585775073,-4.762368601088803,3.766166968022613,1.4311092387420958,5.944716669882008,-0.6504362744116231,-0.7873307516497109,0.7498803741583719,4.567140128013239,2.1459722522661933,-2.9734048773913235,3.116330133690914,0.7962810822787837,0.8624709437828098,3.2789882590586488,-2.9696670149203057,-2.835178146408292,-0.08683827019307977,-1.2278309883277183
