,index_0,index_1,behavior_0,behavior_1,objective,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15,solution_16,solution_17,solution_18,solution_19,solution_20,solution_21,solution_22,solution_23,solution_24,solution_25,solution_26,solution_27,solution_28,solution_29,solution_30,solution_31,solution_32,solution_33,solution_34,solution_35,solution_36,solution_37,solution_38,solution_39,solution_40,solution_41,solution_42,solution_43,solution_44,solution_45,solution_46,solution_47,solution_48,solution_49
0,15,19,15.0,19.0,375.0,1.0,0.8199626966965662,-0.006083461621657238,-1.0,-0.6390216129979476,0.5202187275487317,-0.2104231968881256,-1.0,-0.9158760513448048,1.0,-0.10454417718614561,0.6958712725555456,-0.42128997377590244,0.25237665421582467,0.6574054195266319,0.899802967166409,-0.5118851988623434,0.18062654844447523,0.39355557910160865,-0.40529739701629497,-0.04036028255377975,1.0,-0.9231468112369279,0.3245578515657307,-0.346076508375694,1.0,1.0,0.47094774637344117,-1.0,-1.0,0.9073342086804982,-1.0,-1.0,0.15314370774621544,-1.0,1.0,0.32029774697125935,1.0,-0.34653388896557846,0.7504298851469862,-0.7268789182979931,0.08078991521409801,0.06383105120306665,0.804470305275587,-0.9759902870130517,0.7976283554816025,-1.0,-0.6505496398080407,-0.19122185016304877,-0.9111766408319636
1,8,19,8.0,19.0,382.0,-0.07295298676054013,0.34606128808293785,-0.5410599978926642,-0.4170468204239035,-0.2293225011163652,1.0,-0.8418395341836867,-1.0,-0.4426862991539803,0.08734296792391671,1.0,1.0,-1.0,-1.0,0.1778261111614087,0.6430998809084362,1.0,-0.6250558463579343,0.12165490397885348,0.35789975319265216,0.8290314646012513,-1.0,-0.6506357259833029,-0.7714895224183667,-1.0,0.6205168388675009,1.0,0.17099981490017901,-0.8743304061368554,0.14585399711833816,-0.4026618405262624,0.2557646811781539,-0.10477953564112163,0.23897605659826715,0.6475737519118121,1.0,-0.21463455810157644,1.0,1.0,1.0,1.0,-0.3811506401367531,-0.2845168003816245,0.3567848370571335,-0.5397528561985904,1.0,-0.12226638890730354,-0.40494408639596247,-0.8609580681954091,-1.0
2,18,19,18.0,19.0,383.0,1.0,-0.7242590884470381,-0.9133549417180638,-0.3584772201028836,0.3443448928514202,0.053568055772283796,0.6412320596039487,-0.8259406500561189,-0.435101481452387,-0.5704676426185846,-1.0,1.0,-0.7859038627182664,0.37441321998196503,0.8215419713103123,-1.0,0.7005777002219103,-0.1876352256070612,-0.39410857133249705,0.30500464751903233,0.7735213263978875,0.4065157932767547,0.057181957278973794,-0.9417663822828545,-0.5882610207494358,1.0,0.7323201403337428,0.7684682977746824,-1.0,-0.59018397246525,-0.6315807762247893,1.0,0.379021189216592,0.9128631594118348,0.6177742580253551,0.9191157224319274,0.614688715978587,0.8919404619079413,-1.0,-0.9567703992069491,-1.0,0.7638542269734364,1.0,-1.0,-0.5754643721454142,-0.5419379058051909,-0.9833089410627227,-0.4723684662041809,-1.0,-0.4166539953782388
3,16,19,16.0,19.0,373.0,-0.7062058014042554,-0.12265654981509216,-0.0222083055044221,0.05953616568942288,-0.5590075941883446,1.0,0.13168184419691586,-0.4160146321274423,-0.5946792870354515,0.2655689227987885,0.5009863409276432,1.0,-0.8132712212533,-0.015341047713644862,0.623905572222566,-0.5103397717932249,-0.37484176916609613,-0.3912352590598779,0.2654102028526993,0.6007814055504085,0.9985828939599856,-1.0,-0.6590428775896456,-0.559610853698387,-0.9169428559675346,0.9336103540984255,1.0,0.4024058708993814,-0.05622521019396831,0.5594456388025412,-0.7526077603653765,0.5818416955520318,-0.4897702294019482,0.2147106340207609,0.6535239550997749,0.6791078057874087,-0.018761554561606608,1.0,0.40454438119958835,1.0,1.0,-0.3290417029016661,0.10895321200515717,0.3359424719744868,-0.5609177501194171,0.3514090531623446,0.03618275837853885,-0.3194102452260193,-0.3554784896639409,-1.0
4,25,16,25.0,16.0,378.0,-0.32010785890131815,-0.13445289899993607,1.0,0.34427127923538736,1.0,0.3720283905651066,-0.7400499722173357,-0.1777269268857162,0.2256871752697479,0.003642553756456529,0.7418173920861375,-0.2101902349446616,-0.8954971585821183,-0.7458112089995353,-0.9327673265460357,-0.6213249351320081,-0.9635145716157982,0.1979324543182098,-0.6509783314199492,-0.9780896618220299,0.5930740001189273,-0.6109896668736702,0.259895351822741,-0.3503096677116918,0.0004044085796868213,1.0,0.6174051110044699,0.4767499985371342,0.5354268838528138,0.9113858476835,0.3567492817373579,-1.0,-0.436748454850644,-1.0,-0.5502445077177684,1.0,0.9885861994445104,0.7003718665630667,-1.0,-0.7882537903195224,0.7289293304402158,-0.20185848703410864,-1.0,-0.44016288816515964,0.3005195482133832,1.0,-0.6836273632041213,-1.0,-0.4167144342422425,-1.0
5,6,16,6.0,16.0,368.0,1.0,-0.5198689020995343,-0.9905566451792613,-0.4086212026483142,-0.6635393871749711,0.7896864637528828,-1.0,-1.0,-0.5773035508617934,0.40440192444359335,-0.5027328593218782,-0.3094654501206297,0.1476532680531586,0.463515548869997,-1.0,0.10916667344886066,-1.0,-1.0,0.9715207725800964,0.9168554662697384,-0.41820880317621634,0.3588042686128574,-1.0,-0.7137441064981138,0.6288512346847193,0.7915598075415936,0.2012370443637167,-0.50501794809797,-0.9420700530341851,-1.0,0.11615097872981814,0.19713146018012329,-0.15864916398803885,-0.17719701095061113,-0.619572685899353,1.0,-1.0,0.6614143852706148,0.6349601537485808,-1.0,-0.5768680296140417,1.0,0.6752208956311953,1.0,1.0,-0.4179830371543904,0.10928546869980704,0.41349542498902936,0.6455230454548112,0.8128559828761017
6,17,19,17.0,19.0,373.0,-1.0,-1.0,0.0641588346283875,-1.0,0.34314900977983953,1.0,1.0,-0.003318311536505747,-1.0,-1.0,0.7162363176036262,0.20104976567237265,0.3442318480399881,-0.31873056058256605,0.04653166973618894,-0.9945381460625058,0.2295483086728832,-0.3354505805095842,0.037991363753468566,0.21114403567055579,0.09795246502114008,-0.023657660282109055,0.26467763123526344,0.17469279340862842,-0.38451593598945494,1.0,0.11767190387838045,-0.35459518046101846,1.0,1.0,-0.09490231643715419,-0.9635811123235535,0.7764176726493558,-0.3589671054358302,-1.0,1.0,0.32112532699945606,-0.14514521046275128,0.11889493123594946,0.5091049582792837,-1.0,1.0,0.5430793042164277,-0.641767985177284,-0.022607209100241416,1.0,0.8647336419086091,-1.0,0.5546293835378688,0.6394597119146871
7,7,18,7.0,18.0,366.0,1.0,-0.025800064096215464,-0.49054162548915503,-1.0,-1.0,0.4373610640473775,-0.6566171542465894,-1.0,-0.5008006971977002,-0.0619866807516371,-1.0,-0.5867487365744958,0.35767267345334286,-0.3086963391518444,0.6503637441667173,0.4851909166282285,-0.9593924979998131,-0.11734668632303383,1.0,0.7392362815418153,0.29455881355424574,1.0,-1.0,-1.0,-1.0,1.0,0.7158090303119926,0.1709974151138385,-1.0,-0.6491927823264527,1.0,-1.0,-0.3841054562125582,0.34783060483485545,-1.0,0.9347233738026863,1.0,1.0,0.22244490095068145,0.22766317974311423,-1.0,0.40877513346850414,-0.10626842299595547,0.9317180560948256,-0.22320312956652832,1.0,-0.7280114534610171,-0.5532216962929293,0.6306686234203875,-1.0
8,34,14,34.0,14.0,358.0,-1.0,-0.6280423214183255,-0.8978302504153965,-0.7458827030743183,-0.2710731263473557,0.6761043192734505,-1.0,0.32694970247002464,0.2875393007738471,1.0,0.6998998090177914,-1.0,0.5081920306571345,-1.0,-1.0,1.0,-0.07694888014141776,0.23162492110401525,-0.5571010770084539,1.0,1.0,-0.6019003946467567,1.0,-0.6630189545634989,0.2025072388248238,-0.37986550950381,-0.1341580426729984,1.0,0.14702247035053684,-0.545824333215293,0.18361426776728704,0.03396943401476871,0.2241573463223805,-1.0,-0.8391705539308996,0.8294041007656727,-0.3068396333733069,0.29343146900870554,0.9624863560631507,1.0,1.0,-0.9066243778731988,1.0,0.01004784580470297,0.14886431332381656,-0.6178336015040174,0.44694844257804733,-1.0,-0.8420628719917723,-0.03517509767413257
9,7,17,7.0,17.0,367.0,0.7323113033858946,-0.3785470894423808,-1.0,-0.4791335838335695,-0.03662787475895746,0.5872151855328372,-0.45658441014844625,-0.6743776188486721,-0.5700177991011406,0.7064670690249721,0.3233144282532854,-0.23933360249529556,-0.217585186587407,0.9413320391320508,0.6216012456816825,0.9120268451958402,0.41001840331573836,0.15032723708033185,-0.6963800782237584,0.9883460016127184,0.13917910584410997,0.2155465409905324,-1.0,-0.37243650592828687,0.15620642542627117,-0.6836386878657768,0.36757574842984375,1.0,0.9465317003560001,-1.0,0.6435460640967452,0.028100892290858992,-0.8193098212994405,0.026083566730610352,-0.2034094968500738,0.1908516608119054,0.14248730335728904,0.9480061804161442,-0.2494843294941274,-0.5321899914350674,-1.0,1.0,0.4814256004154749,0.4728966575923387,-1.0,1.0,-0.9247561193466833,-1.0,-0.09046109347621498,-0.5851242181139901
