,index_0,index_1,behavior_0,behavior_1,objective,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15,solution_16,solution_17,solution_18,solution_19,solution_20,solution_21,solution_22,solution_23,solution_24,solution_25,solution_26,solution_27,solution_28,solution_29,solution_30,solution_31,solution_32,solution_33,solution_34,solution_35,solution_36,solution_37,solution_38,solution_39,solution_40,solution_41,solution_42,solution_43,solution_44,solution_45,solution_46,solution_47,solution_48,solution_49,solution_50,solution_51,solution_52,solution_53,solution_54,solution_55,solution_56,solution_57,solution_58,solution_59,solution_60,solution_61,solution_62,solution_63,solution_64,solution_65,solution_66,solution_67,solution_68,solution_69,solution_70,solution_71,solution_72,solution_73,solution_74,solution_75,solution_76,solution_77,solution_78,solution_79,solution_80,solution_81,solution_82,solution_83,solution_84,solution_85,solution_86,solution_87,solution_88,solution_89
0,0,49,0.0,49.0,92.0,-0.6960177547502538,-0.1730537087986237,-1.0,-1.0,1.0,1.0,-0.5468908441755486,0.7772500871943274,0.5557097747401929,-0.8670521022585915,-1.0,-0.5627992975655958,0.5717486066304932,1.0,0.9162604814156902,0.3064399516448816,0.7989638386457869,-0.4598762063856597,0.0294456573725288,0.8077788338016008,0.06255203414904531,-0.4784690803631053,-0.06499321064848526,-1.0,1.0,1.0,1.0,0.5847615195773124,0.9295673057847493,-0.787168226496171,-0.188300781155674,1.0,-0.49140185170144207,1.0,-0.5746782619069422,1.0,-1.0,1.0,0.38591645033910116,0.1306243268970051,0.9858406977393901,1.0,-0.1947682813049121,0.6488789938787177,-0.4855911815964158,0.8971636423142962,1.0,-0.11511118374719226,0.7774038730327288,1.0,0.9308253685763807,-0.3658372361483763,-0.6868985893432403,0.3648224580522823,-0.759953900519839,0.6253231856957029,-0.31636924020155904,-0.6972351032466033,-1.0,1.0,-1.0,-0.7643423659444593,0.2843077005300294,0.40020787930487633,-0.3207402106482624,-0.580781665215804,0.12444563427774902,0.584312405918761,1.0,-0.4889222872649237,-0.9583652753603977,-1.0,1.0,-0.2823897760168419,-0.6268667354704744,0.674493343589154,-0.4061565292590362,-0.3171091894657958,1.0,0.2828549637244959,1.0,0.45396518924899587,-0.22898532455169285,0.568292040516605,-0.17259853568948708,-1.0,-0.3022897512073189,0.37474537706994787,1.0,-1.0
1,0,79,0.0,79.0,98.0,-0.5957071804523169,1.0,-0.047306626201541746,-0.569191882718318,1.0,1.0,-0.99749322211615,0.5073420307179191,0.6412778255385936,-1.0,0.1865367622968528,-0.3673326619621873,-0.1733757774485985,-1.0,-1.0,1.0,-0.7549137534165573,0.9343478996588321,1.0,-0.11330888771062364,-0.8686533683673273,-0.9828559567005606,-0.9949562869636636,1.0,0.15112106638119124,0.2442634361804623,0.5924491172005419,-0.5310558157711041,0.4672367291844118,1.0,0.0307775045666498,-0.3780124076400725,-0.9367039601568525,-0.015394254391421724,-0.5138690094489005,0.8074297193907645,1.0,1.0,0.43253154062442745,-1.0,1.0,1.0,0.6965590432844153,0.8305175410838874,0.6149843728445685,-1.0,0.08883532373892622,-0.9817683907714455,0.12694893767949278,1.0,-1.0,0.4355065689764517,1.0,0.7053082027271047,-1.0,-0.1275942937539183,1.0,-0.4053827934568599,-0.8096514126861775,-0.05915812415998574,0.44321167398590666,-1.0,-0.9532230812618786,-0.38047355564948027,0.7454669263163705,1.0,-0.08989394096542003,0.5239280611021169,0.5431312021013249,0.28144675159279875,-1.0,-0.10530945093501774,0.9339715601618288,-0.16784126772753327,-0.8996595990295033,-0.5866666966797105,-1.0,1.0,-0.2136590661645349,0.5771221053274369,0.6768949909951147,-0.07405003323397691,-0.5022199983124238,-0.07457306164586167,0.9888919304946555,0.7810284189818314,0.8144190820717205,-0.6786204580283975,1.0,0.2598838531944654
2,0,99,0.0,99.0,85.0,-0.9848962606105625,0.790786727062398,-0.4657655171798426,-0.23536204654571258,1.0,0.6247105074022703,-1.0,1.0,-0.18494369578137138,-0.6350634202467078,0.5676990651730104,1.0,-0.2228657734348778,0.336195087899085,0.4649804386874593,0.7435852023877385,-0.3250478548203851,-1.0,0.3800515162752306,0.6147933758538321,-0.8646984406344386,0.08054331673484305,0.32264980369204266,-0.4647052926800185,-1.0,-1.0,0.7783035296989653,1.0,-0.3199465592749895,-0.7606791672075692,0.6835615323524283,1.0,-0.4926538857290398,0.5657063911419689,0.869490698597849,-0.9828043964468856,0.25692634922578733,-0.19010536890090263,0.16432781019319836,-0.543308183837721,-0.9009636654830468,1.0,0.4878817887935826,1.0,-0.0507981107243386,0.40238733009434147,-0.540891738330016,1.0,-0.05882035590707546,1.0,-0.5776997439324688,1.0,-0.607437617739987,-0.15232016589100555,-1.0,0.760276254144369,0.2928849408924782,-0.04457088849392532,-1.0,0.9760853941143759,0.10708502541086318,0.8020249011004601,-0.4912493910457069,-0.6509163368289528,-0.9134345349911726,0.49919695252768365,1.0,-0.809642766293058,-0.44379124757226296,0.11355836749124684,0.0920969204661042,-0.6726398226176221,-1.0,0.9533425511638665,-1.0,-0.34621678236658815,-1.0,-1.0,1.0,0.45091001738615055,0.981545925110539,0.4173639855754111,0.19150007653934176,0.325142810328593,-0.40931525595773577,-0.25469322290109675,0.299321656154963,-1.0,-0.22382506909891614,0.3635103105073927
3,0,89,0.0,89.0,84.0,-0.2211065875335042,0.29002778360638737,-1.0,-0.6511325883149601,0.19342124337079025,0.8590897217661878,0.4637422472835656,0.08585266711156597,1.0,-1.0,-1.0,-0.3629748433403761,0.5161180887201994,1.0,0.6216045353551282,0.2942858025326639,0.8634071679633815,1.0,-1.0,0.7445460437049054,-0.8374674600241946,-0.12202929138411855,-0.6542048814976181,0.4000201653159674,-0.38140960285856673,0.19887184729218302,1.0,-0.02445777277318778,0.4375258886986605,0.5799276815199687,-0.15280846471657517,0.11578025826279104,-0.6794255478354725,0.9805300392507154,0.6088828611685375,0.6169947055297936,-0.6507100184367467,1.0,-1.0,-0.8317634349808603,0.2846915031377112,1.0,0.525546863017392,-0.8346909067644728,-1.0,-0.1385892418792185,0.10371472455351705,-1.0,0.6809387389053371,1.0,0.2748904671633787,-0.22987778119196733,-1.0,0.24690455613283052,-1.0,1.0,0.21264527260844235,-0.13084966736294434,-0.5324285869768949,0.5887433537999086,0.034752410592512106,0.24373105991202976,0.0035081722765359924,0.5041915083804345,0.24607528906198084,0.17358370631921322,1.0,-1.0,0.2664665142501901,-1.0,-1.0,0.2211923816301017,0.991653879534066,1.0,-0.4634905860509093,-0.9855031080937269,-0.6222161593725699,-0.4187296357339279,0.8806778716288495,-0.3072954131913744,0.590163597360401,0.48457200058679256,0.9657040962810332,-0.5953092842856738,-1.0,-1.0,0.5046734340769187,0.9345141947846627,-0.5226857667116325,-0.10316291378425746
4,1,99,1.0,109.0,92.0,-0.907188742117409,0.20804475262167715,0.3494288837003609,-0.1789642212732266,-0.9313546548275816,1.0,-0.8278465754540536,-0.20171507475288813,0.21500174409133854,-1.0,-0.03004923574756324,-0.6828024682689819,0.012725992789567847,0.0860816223717576,-0.8300226160069659,-0.10537902798701115,-0.6742401458331077,-1.0,-0.7988872253551754,-0.1956091501195223,1.0,0.6216524599475357,-0.8130630536394685,-1.0,0.1037552521757549,0.47954567610834936,-1.0,0.944182139713834,-1.0,0.3871926948741585,0.622103342974424,-0.2975959548819113,-0.0253605883989535,0.7690320519375844,0.43875414402617224,-0.7002158486732404,0.35190538185516373,0.7701401945524755,0.6495754192754667,-0.34695854663352504,0.0455088440438374,-1.0,0.6677675411977695,0.2194467791020619,0.25522986198784847,1.0,1.0,-0.6282200467181629,-0.4436896242353273,0.9067942439014594,1.0,-0.35633415337375085,0.10434539669134346,0.35758643700337767,0.2291235065686797,-0.5119182896665201,0.6606054032708579,-0.8473444865111048,0.06459731329684859,-0.08814362771225936,0.7372087089026442,1.0,-0.8503550665568396,-1.0,0.7476850985311608,0.7332950697362957,-0.7969554002821145,-1.0,1.0,-0.47018182731193453,0.3620719513568095,0.6561806359543303,0.5440969468706212,0.555009466330861,0.5668179220510042,0.5883425091414886,0.16182653916061762,-0.0952845212964733,-1.0,0.43801812958556485,0.3491140769407002,0.8358411997235005,-1.0,-1.0,-0.5453679617201598,0.6224116499888794,-1.0,-1.0,1.0,1.0
5,1,49,1.0,49.0,112.0,-0.7865865423582525,0.8509076625786601,-0.7560032386319675,-1.0,0.19526952274260634,0.6483835436169954,0.6682510080341808,-0.2077282906782088,-0.8214347226633962,-1.0,-0.04454990076295143,1.0,0.48393651358161605,1.0,0.5457696575345315,0.3324980941198935,-0.8243460705544663,-1.0,0.868885515285883,1.0,-1.0,0.6495687156339162,0.5228627639180363,-0.6251864357073731,-0.24153728302359243,0.9853441556489261,-1.0,-0.05760071297737111,-0.7795498923755267,-0.9327324248517075,0.5836941923583944,0.7412824486810781,-0.20999425350203685,1.0,1.0,0.15474464043059638,0.6368561103636783,0.7826108764327531,-0.08836595937979064,-0.9319133338248419,-0.4022369561076272,-0.15159223929970383,0.7209461605360616,1.0,0.0014865836359020945,-0.8320493956966674,0.8989284102845297,-1.0,-0.10344251779488334,1.0,0.09742219942167452,0.6712567339061801,1.0,-0.822394911264215,0.3147396249687335,0.23819214073644301,-0.5424544018788824,0.003967496226734063,0.44387703759768593,0.6370078194616107,0.4352112617026272,-0.5009810646547618,0.7739423318283,0.4750971235950305,0.7039757471241156,-1.0,0.0232762987735054,-1.0,-0.31665299045031187,-0.8880735000950629,-0.08911316765787536,1.0,-1.0,1.0,-0.312419259323888,-0.013584660623073397,-0.4613157527998246,1.0,1.0,1.0,0.9603883459886375,1.0,1.0,-1.0,-0.6376992309992529,0.370042363981787,0.07909149584870423,-0.4638823243254271,0.18503983366200705,1.0
6,0,78,0.0,78.0,93.0,-0.9902161113062228,0.14083549235600612,-1.0,-0.3595440029465614,0.8279157708893389,1.0,-0.7543193081658451,1.0,-0.3213664347387645,0.72729578440864,0.5482730268421521,-1.0,-0.9795015754113326,0.3136003234787491,0.5910670282161071,0.9627340773929043,0.8983414277147048,-0.22180438270491343,-0.24975204055461564,0.1061152959565897,-0.4038027428165308,-0.6813154478832083,0.5900211978809611,0.82378802344773,1.0,-0.3610924182881545,-0.6981633625209027,-0.9673641347382638,0.3880136446335001,0.35043517592869156,1.0,-1.0,0.20981583057086503,-0.4406005692740523,0.4868825695771761,0.6258667357949379,-0.7856709333347552,1.0,-0.4329809336020243,1.0,0.27620780974279596,-0.6751323676991474,0.27581010864210986,0.005790626195286475,-1.0,-0.8438744304099188,-0.4190735450996971,0.01208375724864541,-1.0,-0.09114711071476395,-1.0,-0.6547710847340645,-1.0,-0.28759009170946226,-0.184037160285495,-0.31342450624226115,-0.23329743364935684,1.0,0.978748734369937,-0.5514744152640114,0.06545890270489407,0.7669322965596754,-1.0,-0.05800421662958344,-0.8801793391361787,-0.07776977562759281,-0.9604496610360345,0.13540534864110482,-0.40457576410324014,-0.9236236699241986,-1.0,-0.12885059194789397,-0.40364900620939514,-0.4286724428789513,0.0568362220099648,-0.19003336902557205,0.7560795439105719,-1.0,0.34842231201509155,-0.4779960769505378,-0.837558617077271,1.0,-0.18088047216166897,0.9916131518931219,-1.0,-0.38882205976095774,-0.03990265724018793,-0.5926418983105486,-1.0,-1.0
7,1,59,1.0,59.0,123.0,-0.8960126191483138,1.0,-0.5856763251837831,0.4118036062727074,1.0,0.9276594511694565,-0.640261427475282,0.1994543483903673,0.9689505245548127,-0.24608344762547094,1.0,-0.2863677457966003,0.5416504578244321,-0.3603007578292956,-0.2545433798185031,0.2843484420953557,-0.256178014485267,1.0,1.0,0.22291042398851416,-1.0,-1.0,-1.0,0.7750366028509447,-0.22779992238566782,0.593461060311174,0.38938647993317316,1.0,0.1809877692060352,0.9920847374033762,-0.04759731483226892,-0.7076116165163863,-0.5269221724398955,-0.6255048823490141,-1.0,0.36016756916517934,0.8064313434395988,0.8077161138645592,-0.5233831196081731,-0.4514309062777524,0.7069823930731665,1.0,0.4167479268375234,0.03537285240973703,-0.4913528383165601,-0.0572405093153594,-0.33007615778873645,-0.34055483258591734,-1.0,0.8482220768327204,-0.38007208822861077,0.23023701255741275,0.08316752797499558,0.14260613558434856,0.13243751573657897,1.0,1.0,-0.5596731209640127,-1.0,0.2990338733587281,-0.1718970236922926,0.1226852853242042,0.22638604968108034,-0.023537765675705424,0.8817658189783446,0.1265253677825382,0.11636589840255507,1.0,0.008344414255583021,0.9457476310583788,-0.19767576263310627,0.4300193259939821,0.03775502672187997,0.5809702276302019,-0.5136016613521692,-0.4831975094765092,1.0,0.6466281569957966,-0.06920722834603425,0.11969613917122018,0.4809288284531031,0.031942318882470344,-1.0,-0.14426108113616787,1.0,0.6391851775597486,1.0,-1.0,0.41168692988941713,0.689192878450892
8,0,69,0.0,69.0,93.0,-0.2898470525047339,0.5627542204508629,-1.0,-0.2937141209520229,0.7238443739912265,1.0,-1.0,1.0,1.0,-0.5992384336788182,-1.0,-0.5433295966807289,0.44207589379845585,0.3872048865061052,1.0,0.922787223906975,0.7709366347900758,-0.13736269566273135,0.05738194557148094,0.630524588966145,0.14463646756324083,-1.0,-0.20664688069330497,-1.0,1.0,1.0,0.9700583359864025,0.7464595418273451,0.7776876117439069,-0.7254001998493119,-1.0,1.0,-0.2263410045908516,1.0,-0.5154717151501761,0.5886295390388054,-1.0,1.0,0.47444689731034884,0.03625495259975116,0.19854818339909686,1.0,-0.5640581975890063,0.7865731653598711,-0.4632755880031218,1.0,0.5137702819972416,0.1878727607525631,0.9775148657515833,0.5665463682519778,0.8827493444449414,0.6778723608853325,-0.8811765201059772,0.4337207027951471,-0.3536633213327282,0.8506676488359438,-0.8717633396404287,-0.14842891832448601,-1.0,1.0,-1.0,-0.8428647599182382,0.18934111185468844,0.3356499316242777,-1.0,-0.729534153983141,-0.09335911257175464,0.31968480826408907,1.0,-1.0,-1.0,-0.9890734489087325,1.0,-0.08919169814366176,-0.12801049358615818,-0.25524834011449793,-0.3533013991672739,-0.3339264087917471,1.0,0.7128885855697427,1.0,1.0,0.22065890784512043,0.6684284798789681,-0.7227503397292732,-1.0,-1.0,0.3742308052082431,0.1274747855474313,-0.5345946407697929
9,2,79,2.0,79.0,117.0,-1.0,0.8763645146540415,-1.0,-1.0,-0.08834972011174902,0.39820095551623447,-0.11881232575062198,0.8035142842177839,0.8547501187294826,-0.9435106346735048,-0.3303360495701989,-1.0,-1.0,1.0,-0.46390979067154725,0.9316371178535182,1.0,-0.7554403924077967,1.0,0.23854384107258575,0.5969261907648498,-0.8090851614200111,-0.45084190913801164,0.7805923833690986,0.041631792682061644,0.08236167111412673,0.7032733586492708,-0.16771541850035165,1.0,0.6247386831873329,-1.0,-0.5383307396558905,0.4135365288513233,0.21336400676919545,0.33295210029917477,0.5697264961366373,0.0006854367005610582,1.0,-0.22035728056021586,-0.8122590525598822,-0.25525549743308584,-1.0,-0.9525262808970033,-1.0,0.2344418231316172,-1.0,-1.0,-0.24983961929063986,-1.0,-0.4307221882158547,-0.4761627352482267,0.23529385809543646,0.321371195690513,0.4775925374128975,1.0,-0.6656963653526317,0.2600985320315642,-0.1649522797887651,0.2835914018728065,0.13763741951038017,-0.10751146567979558,-0.24778303971169813,-0.29288699145281405,-0.24868417714270902,0.10973416472270564,0.029002828917574497,-0.9070015383416312,-1.0,-1.0,0.021013810322436988,0.7382828108072179,-1.0,-0.37539162849274854,-0.4632335685207156,0.7425429189442766,1.0,-0.423679741885714,-0.471963943667929,-0.9889801088414726,-1.0,-0.6027089348816432,-0.8285365873450555,0.15968924148918487,-1.0,0.8073751579712151,-0.2835832308000697,-0.012769789429892375,-1.0,-1.0,-0.7946582171126284
